名前,読み方,チーム,MC NAME,MC NAME 読み方,CV,座右の銘,motto,絵文字
山田 一郎,やまだ いちろう,Buster Bros!!!,MC.B.B,エムシービッグブラザー,木村 昴,地べたを見てるやつに一生いいことなんて起きない,You'll never find a rainbow if you're looking down.,1️⃣
山田 二郎,やまだ じろう,Buster Bros!!!,MC.M.B,エムシーミドルブラザー,石谷春貴,歳をとったから遊ばなくなるのではなく、遊ばなくなるから歳をとる,We don’t stop playing because we grow old; we grow old because we stop playing.,2️⃣
山田 三郎,やまだ さぶろう,Buster Bros!!!,MC.L.B,エムシーリトルブラザー,天﨑滉平,あらゆる昇るものは沈み、あらゆる成長には老いがある,"Everything that rises sets, and everything that grows, grows old.",3️⃣
碧棺 左馬刻,あおひつぎ さまとき,MAD TRIGGER CREW,Mr.Hc,ミスターハードコア,浅沼晋太郎,公平なものなど存在しない,Life is not fair.,🐴
入間 銃兎,いるま じゅうと,MAD TRIGGER CREW,45 Rabbit,フォーティファイブ ラビット,駒田 航,リスクを取る勇気がなければ、何も達成することがない人生になる,He who is not courageous enough to take risks will accomplish nothing in life.,🐰
毒島 メイソン 理鶯,ぶすじま めいそん りおう,MAD TRIGGER CREW,Crazy M,クレイジーエム,神尾晋一郎,そのために死ねる何かを見つけていない人間は、生きるのにふさわしくない,"I submit to you that if a man hasn't discovered something that he will die for, he isn't fit to live.",🐦
飴村 乱数,あめむら らむだ,Fling Posse,easy R,イージーアール,白井悠介,楽観主義者はドーナツを見て、悲観主義者はその穴をみる,"The optimist sees the doughnut, the pessimist sees the hole.",🍭
夢野 幻太郎,ゆめの げんたろう,Fling Posse,Phantom,ファントム,斉藤壮馬,何のために意味なんか求めるんだ？人生は願望だ、意味じゃない,"What do you want meaning for? Life is desire, not meaning.",📚
有栖川 帝統,ありすがわ だいす,Fling Posse,Dead or Alive,デッド オア アライブ,野津山幸宏,自分の生きる人生を愛せ、自分が愛する人生を生きろ,Love the life you live. Live the life you love.,🎲
神宮寺 寂雷,じんぐうじ じゃくらい,麻天狼,ill-DOC,イルドック,速水 奨,人生の唯一の意義は、人のために生きることである,The sole meaning of life is to serve humanity.,💉
伊弉冉 一二三,いざなみ ひふみ,麻天狼,GIGOLO,ジゴロ,木島隆一,今日という日は、残りの人生の最初の日である,Today is the first day of the rest of your life.,🥂
観音坂 独歩,かんのんざか どっぽ,麻天狼,DOPPO,ドッポ,伊東健人,本当の世界は想像よりもはるかに小さい,The real world is much smaller than the imaginary.,👔
白膠木 簓,ぬるで ささら,どついたれ本舗,Tragic Comedy,トラジックコメディー,岩崎諒太,俺の人生を変えられるのは俺だけや　誰も俺の為にそんな事やってくれへん,Only I can change my life. No one can do it for me.,🎋
躑躅森 盧笙,つつじもり ろしょう,どついたれ本舗,WISDOM,ウィズダム,河西健吾,挫折をしない者は、新しい事に挑戦したことが無いということだ,Anyone who has never made a mistake has never tried anything new.,🌳
天谷奴 零,あまやど れい,どついたれ本舗,MC MasterMind,エムシーマスターマインド,黒田崇矢,他人の人生に影響をもたらしてこそ、人生には意味がある,A life is not important except in the impact it has on other lives.,0️⃣
波羅夷 空却,はらい くうこう,Bad Ass Temple,Evil Monk,イーブルモンク,葉山翔太,過ちを犯す自由がないのならば、自由を持つ価値はない,Freedom is not worth having if it does not include the freedom to make mistakes.,📿
四十物 十四,あいもの じゅうし,Bad Ass Temple,14th Moon,フォーティーンスムーン,榊原優希,何があっても、何があっても、何があっても屈するな,"Never,never,never,never,give up.",🌔
天国 獄,あまぐに ひとや,Bad Ass Temple,Heaven & Hell,ヘブンアンドヘル,竹内栄治,月に手を伸ばせ　たとえ届かなくても,It is my belief that reaching out to the moon is my goal. Even if it does not arrive.,⚖️
東方天 乙統女,とうほうてん おとめ,中王区,,,小林ゆう,行動することは少しも恐れはしない　恐れるのは、ただ無為に時を過ごすこと,"I never worry about action, but only inaction.",
勘解由小路 無花果,かでのこうじ いちじく,中王区,,,たかはし智秋,犬は決して私に噛みつかない　裏切るのはいつも人間だ,Dogs never bite me. Just humans.,
碧棺 合歓,あおひつぎ ねむ,中王区,,,山本希望,雲の向こうは、いつも青空,There is always light behind the clouds.,